,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,vont,will
23,pendant,while
24,revoir,meet again
25,aucune,any
26,place,square
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,pourrais,could
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,train,train
40,corps,body
41,endroit,place
42,yeux,eyes
43,façon,way
44,écoute,listen
45,dont,whose
46,trouve,find
47,premier,first
48,perdu,lost
49,main,hand
50,première,first
51,côté,side
52,pouvoir,power
53,vieux,old
54,sois,be
55,tiens,here
56,matin,morning
57,tellement,so much
58,enfant,child
59,point,point
60,venu,came
61,suite,after
62,pardon,sorry
63,venez,come
64,devant,in front of
65,vers,towards
66,minutes,minutes
67,mis,placed
68,belle,beautiful
69,droit,law
70,aimerais,would like to
71,aujourd'hui,today
72,mari,husband
73,cause,cause
74,enfin,finally
75,espère,hope
76,eau,water
77,attendez,Wait
78,parti,left
79,nouvelle,new
80,boulot,job
81,arrêter,Stop
82,dirait,would say
83,terre,Earth
84,donne,given
85,loin,far
86,croire,believe
87,chérie,sweetheart
88,gros,large
89,plutôt,rather
90,aura,will have
91,filles,girls
92,jouer,to play
93,bureau,office
